Tahun,Leding,Pompa,Air Dalam Kemasan,Sumur Terlindung,Sumur Tak Terlindung,Mata Air Terlindung,Mata Air Tak Terlindung,Lainnya
2021,9.39441,12.385,40.34824,14.71324,4.01206,9.32882,2.85235,6.96412
2020,10.07412,12.75853,40.76029,13.66794,5.14294,8.08765,2.81235,6.69471
2019,10.41647,10.64353,39.46294,15.45882,5.56941,8.27382,3.26706,6.90647
2018,10.94147,10.62882,37.22412,15.82471,6.12206,8.42735,3.51765,7.60706
2017,10.89206,9.95353,35.69912,17.31765,6.50853,8.44824,3.41471,7.765
2016,10.79118,9.54353,32.67088,19.18,7.83294,8.26265,3.73588,7.98382
2015,11.53794,9.47471,30.15765,20.28,7.12853,9.01412,3.77294,8.63471
2014,10.17294,9.21029,29.26324,19.49029,7.56618,9.46941,3.82882,8.05735
2013,11.14879,9.10576,27.8703,21.32182,8.1875,9.57333,4.06406,9.11067
2012,11.73152,9.46667,25.4603,22.45636,8.7197,9.00364,4.54606,8.61545
2011,11.98909,8.85909,22.5103,23.93818,9.30182,9.35281,4.67594,9.99109
2010,13.39061,9.01758,18.98909,26.37515,9.51091,8.42121,4.13576,10.16242
2009,16.33545,10.58697,12.41576,27.41333,10.06091,8.40121,4.58515,10.20152
2008,16.27273,10.05697,10.67212,26.48939,12.65576,8.21606,4.80727,10.98033