year,"annual_freshwater_withdrawals,_total_(%_of_internal_resources)",forest_area_(sq._km),forest_area_(%_of_land_area),level_of_water_stress:_freshwater_withdrawal_as_a_proportion_of_available_freshwater_resources
1990,3.681889335,1185450,65.43771425,9.914138989
1991,3.874804082,1168185,64.48467352,10.43359611
1992,4.067718829,1150920,63.53163278,10.95305322
1993,4.260633576,1133655,62.57859205,11.47251034
1994,4.453528508,1116390,61.62555132,11.99196745
1995,4.64646307,1099125,60.67251058,12.51142457
1996,4.839348095,1081860,59.71946985,13.03088169
1997,5.032257889,1064595,58.76642912,13.5503388
1998,5.225167682,1047330,57.81338839,14.06979592
1999,5.418077476,1030065,56.86034765,14.58925303
2000,5.611036806,1012800,53.94352867,15.10871015
2001,5.949636524,1011179.2,53.85720198,16.02044985
2002,6.288236241,1009558.4,53.77087529,16.93218954
2003,6.626835959,1007937.6,53.6845486,17.84392924
2004,6.965435676,1006316.8,53.59822191,18.75566893
2005,7.304035394,1004696,53.51189522,19.66740863
2006,7.642635112,1003075.2,53.42556853,20.57914833
2007,7.981234829,1001454.4,53.33924184,21.49088802
2008,8.319834547,999833.6,53.25291515,22.40262772
2009,8.658434265,998212.8,53.16658846,23.31436741
2010,8.997033982,996592,53.08026177,24.22610711
2011,9.3356337,987329.4,52.58691923,25.13784681
2012,9.674233418,978066.8,52.09357668,26.0495865
2013,10.01283314,968804.2,51.60023414,26.9613262
2014,10.35143285,959541.6,51.10689159,27.87306589
2015,10.69003257,950279,50.61354905,28.78480559
2016,11.02863229,952718,50.74345453,29.69654528
2017,11.02863229,939498,50.03933382,29.69654528
2018,11.02863229,933442.7,49.71681778,29.69654528
2019,11.02863229,927387.3,49.39429641,29.69654528
2020,11.02863229,921332,49.07178037,29.69654528
2021,,915276.633,48.36194487,